relationship_type,category,description,rank,suggested_wikidata_property,suggested_wikidata_label,suggested_wikidata_description,suggested_wikidata_type,score,confidence,query_used,method,review_status
PROSCRIBED,Political,Officially proscribed (Roman proscription),1,P11491,member of Roman tribe,Roman tribe in which one was inscribed,http://wikiba.se/ontology#WikibaseItem,0.308,low,Officially proscribed (Roman proscription),local_catalog_similarity,pending_review
PROSCRIBED,Political,Officially proscribed (Roman proscription),2,P2358,praenomen,"standard part of the name of a Roman (and related cultures), link to items for specific Roman praenomen only",http://wikiba.se/ontology#WikibaseItem,0.287,low,Officially proscribed (Roman proscription),local_catalog_similarity,pending_review
PROSCRIBED,Political,Officially proscribed (Roman proscription),3,P263,official residence,the residence at which heads of government and other senior figures officially reside,http://wikiba.se/ontology#WikibaseItem,0.277,low,Officially proscribed (Roman proscription),local_catalog_similarity,pending_review
PROSCRIPTION_OF,Political,Subject of proscription,1,P12765,protonym of,"taxon item of which this taxon name is a protonym (original name, for zoological taxa) - inverse property of original combination",http://wikiba.se/ontology#WikibaseItem,0.520,low,proscription of,local_catalog_similarity,pending_review
PROSCRIPTION_OF,Political,Subject of proscription,2,P5004,in opposition to,object of a social action,http://wikiba.se/ontology#WikibaseItem,0.507,low,proscription of,local_catalog_similarity,pending_review
PROSCRIPTION_OF,Political,Subject of proscription,3,P6524,expression of,"realization of a work through words, sound, image etc. in the FRBR model",http://wikiba.se/ontology#WikibaseItem,0.491,low,proscription of,local_catalog_similarity,pending_review
SUBJUGATED,Political,Conquered/subdued and incorporated into empire,1,P2959,permanent duplicated item,"this item duplicates another item and the two can't be merged, as one Wikimedia project includes two pages, e.g. in different scripts or languages (only applies to some wikis, e.g.: cdowiki, gomwiki, nanwiki). Use P31=Q17362920 for other wikis.",http://wikiba.se/ontology#WikibaseItem,0.287,low,Conquered/subdued and incorporated into empire,local_catalog_similarity,pending_review
SUBJUGATED,Political,Conquered/subdued and incorporated into empire,2,P14095,translates into,"language(s) that this person, company or organization translates works and texts into",http://wikiba.se/ontology#WikibaseItem,0.286,low,Conquered/subdued and incorporated into empire,local_catalog_similarity,pending_review
SUBJUGATED,Political,Conquered/subdued and incorporated into empire,3,P11801,visited by,organisms attracted by this plant taxon and reported to visit it,http://wikiba.se/ontology#WikibaseItem,0.272,low,Conquered/subdued and incorporated into empire,local_catalog_similarity,pending_review
SUBJUGATED_BY,Political,Was conquered/subdued and incorporated,1,P1840,investigated by,person or organization involved in investigation of the item,http://wikiba.se/ontology#WikibaseItem,0.485,low,subjugated by,local_catalog_similarity,pending_review
SUBJUGATED_BY,Political,Was conquered/subdued and incorporated,2,P647,drafted by,which team the player was drafted by,http://wikiba.se/ontology#WikibaseItem,0.484,low,subjugated by,local_catalog_similarity,pending_review
SUBJUGATED_BY,Political,Was conquered/subdued and incorporated,3,P3719,regulated by,"organization that acts as regulator of an activity, financial market, or stock exchange",http://wikiba.se/ontology#WikibaseItem,0.479,low,subjugated by,local_catalog_similarity,pending_review
TRIBUTARY_OF,Political,Polity paid tribute to empire,1,P974,tributary,watercourse that flows into an other one (for lake inflows use P200),http://wikiba.se/ontology#WikibaseItem,0.657,low,tributary,local_catalog_similarity,pending_review
TRIBUTARY_OF,Political,Polity paid tribute to empire,2,P3871,tributary orientation,specify if the stream confluence is a left bank or right bank tributary,http://wikiba.se/ontology#WikibaseItem,0.498,low,tributary of,local_catalog_similarity,pending_review
TRIBUTARY_OF,Political,Polity paid tribute to empire,3,P1537,contributing factor of,"thing that is significantly influenced by this cause, but does not directly result from it. See 'Help:Modeling causes' for examples and discussion.",http://wikiba.se/ontology#WikibaseItem,0.478,low,tributary of,local_catalog_similarity,pending_review
VETOED,Political,Person blocked another's action,1,P2715,elected in,"election in which a person gained a position (as qualifier), or a position or legislative term is/was elected (as main value)",http://wikiba.se/ontology#WikibaseItem,0.343,low,Person blocked another's action,local_catalog_similarity,pending_review
VETOED,Political,Person blocked another's action,2,P1399,convicted of,crime a person or organization was convicted of,http://wikiba.se/ontology#WikibaseItem,0.322,low,Person blocked another's action,local_catalog_similarity,pending_review
VETOED,Political,Person blocked another's action,3,P6938,seconded by,a person who seconds a motion as parliamentary procedure,http://wikiba.se/ontology#WikibaseItem,0.320,low,Person blocked another's action,local_catalog_similarity,pending_review
COLLEAGUE_WITH,Position,Shared office contemporaneously,1,P5009,complies with,the product or work complies with a certain norm or passes a test,http://wikiba.se/ontology#WikibaseItem,0.500,low,colleague with,local_catalog_similarity,pending_review
COLLEAGUE_WITH,Position,Shared office contemporaneously,2,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.485,low,colleague with,local_catalog_similarity,pending_review
COLLEAGUE_WITH,Position,Shared office contemporaneously,3,P8956,compatible with,"this work, product, object or standard can interact with another work, product, object or standard",http://wikiba.se/ontology#WikibaseItem,0.470,low,colleague with,local_catalog_similarity,pending_review
COMMANDED,Position,Commanded forces,1,P4791,commanded by,"commander of a military unit/army/security service, operation, etc.",http://wikiba.se/ontology#WikibaseItem,0.635,low,commanded,local_catalog_similarity,pending_review
COMMANDED,Position,Commanded forces,2,P598,commander of (DEPRECATED),"for persons who are notable as commanding officers, the units they commanded",http://wikiba.se/ontology#WikibaseItem,0.452,low,Commanded forces,local_catalog_similarity,pending_review
COMMANDED,Position,Commanded forces,3,P4220,order of battle,arrangement of units and hierarchical organization of the armed forces involved in the specified military action,http://wikiba.se/ontology#WikibaseItem,0.256,low,Commanded forces,local_catalog_similarity,pending_review
RESIGNATION_OF,Position,Resignation from office by person,1,P4646,representation of,performing arts production the item is a representation of,http://wikiba.se/ontology#WikibaseItem,0.573,low,resignation of,local_catalog_similarity,pending_review
RESIGNATION_OF,Position,Resignation from office by person,2,P9745,translation of,"edition, version, or expression that this translation is translated from",http://wikiba.se/ontology#WikibaseItem,0.541,low,resignation of,local_catalog_similarity,pending_review
RESIGNATION_OF,Position,Resignation from office by person,3,P3701,incarnation of,incarnation of another religious or supernatural being,http://wikiba.se/ontology#WikibaseItem,0.539,low,resignation of,local_catalog_similarity,pending_review
RESIGNED_FROM,Position,Voluntarily resigned from office,1,P6684,first attested from,to indicate the first ''known'' usage of a word,http://wikiba.se/ontology#WikibaseItem,0.484,low,resigned from,local_catalog_similarity,pending_review
RESIGNED_FROM,Position,Voluntarily resigned from office,2,P10754,distributed from,place or location where a good or service is distributed from,http://wikiba.se/ontology#WikibaseItem,0.483,low,resigned from,local_catalog_similarity,pending_review
RESIGNED_FROM,Position,Voluntarily resigned from office,3,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.465,low,resigned from,local_catalog_similarity,pending_review
SERVED_AS,Position,Served in role as,1,P6531,observed in,"to be used as reference to location, condition, variant where upon the subject property object statement is based",http://wikiba.se/ontology#WikibaseItem,0.529,low,served as,local_catalog_similarity,pending_review
SERVED_AS,Position,Served in role as,2,P7855,attested as,"how the word is attested in a text, if different from the current way to write it. Should be used with ""attested in"" (P5323)",http://wikiba.se/ontology#String,0.411,low,served as,local_catalog_similarity,pending_review
SERVED_AS,Position,Served in role as,3,P6938,seconded by,a person who seconds a motion as parliamentary procedure,http://wikiba.se/ontology#WikibaseItem,0.405,low,served as,local_catalog_similarity,pending_review
REQUIRES_MATERIAL,Production,Type requires material for production,1,P5713,requires grammatical feature,grammatical features required or generally used with lexeme or form of lexeme,http://wikiba.se/ontology#WikibaseItem,0.508,low,requires material,local_catalog_similarity,pending_review
REQUIRES_MATERIAL,Production,Type requires material for production,2,P2647,source of material,"place the material used was mined, quarried, found, or produced",http://wikiba.se/ontology#WikibaseItem,0.483,low,requires material,local_catalog_similarity,pending_review
REQUIRES_MATERIAL,Production,Type requires material for production,3,P186,made from material,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes),http://wikiba.se/ontology#WikibaseItem,0.445,low,requires material,local_catalog_similarity,pending_review
REQUIRES_SKILL,Production,Type requires skill to make,1,P5713,requires grammatical feature,grammatical features required or generally used with lexeme or form of lexeme,http://wikiba.se/ontology#WikibaseItem,0.415,low,requires skill,local_catalog_similarity,pending_review
REQUIRES_SKILL,Production,Type requires skill to make,2,P4644,ESCO skill ID,"identifier for a Skill, in the European multilingual database ESCO v1",http://wikiba.se/ontology#ExternalId,0.410,low,requires skill,local_catalog_similarity,pending_review
REQUIRES_SKILL,Production,Type requires skill to make,3,P4967,prerequisite,"prior event or achievement that a person or team needs to complete before joining or obtaining the item topic, e.g. a qualifying round of a sports event, a lower-level course in an educational program, or a lower level of a professional qualification",http://wikiba.se/ontology#WikibaseItem,0.341,low,Type requires skill to make,local_catalog_similarity,pending_review
I1_INFERRED_FROM,Reasoning,Knowledge inferred from evidence,1,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.663,low,i1 inferred from,local_catalog_similarity,pending_review
I1_INFERRED_FROM,Reasoning,Knowledge inferred from evidence,2,P1889,different from,"item that is different from another item, with which it may be confused",http://wikiba.se/ontology#WikibaseItem,0.508,low,i1 inferred from,local_catalog_similarity,pending_review
I1_INFERRED_FROM,Reasoning,Knowledge inferred from evidence,3,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.466,low,i1 inferred from,local_catalog_similarity,pending_review
I2_BELIEVED_TO_HOLD,Reasoning,Belief about a fact,1,P2210,relative to,qualifier: what a statement value is relative to,http://wikiba.se/ontology#WikibaseItem,0.428,low,i2 believed to hold,local_catalog_similarity,pending_review
I2_BELIEVED_TO_HOLD,Reasoning,Belief about a fact,2,P1753,list related to category,Wikimedia list equivalent to a Wikimedia category,http://wikiba.se/ontology#WikibaseItem,0.418,low,i2 believed to hold,local_catalog_similarity,pending_review
I2_BELIEVED_TO_HOLD,Reasoning,Belief about a fact,3,P1408,licensed to broadcast to,place that a radio/TV station is licensed/required to broadcast to,http://wikiba.se/ontology#WikibaseItem,0.408,low,i2 believed to hold,local_catalog_similarity,pending_review
I3_HAS_NOTE,Reasoning,Has note or explanation,1,P1897,highest note,highest note that an instrument can play or singer can sing,http://wikiba.se/ontology#WikibaseItem,0.544,low,i3 has note,local_catalog_similarity,pending_review
I3_HAS_NOTE,Reasoning,Has note or explanation,2,P2975,has host,an organism harboring another organism or organisms on or in itself,http://wikiba.se/ontology#WikibaseItem,0.499,low,i3 has note,local_catalog_similarity,pending_review
I3_HAS_NOTE,Reasoning,Has note or explanation,3,P6532,has phenotype,"a relationship that holds between a biological entity and a phenotype, equivalent to ""has property"" in the relation ontology http://purl.obolibrary.org/obo/RO_0002200",http://wikiba.se/ontology#WikibaseItem,0.497,low,i3 has note,local_catalog_similarity,pending_review
I4_HAS_UNCERTAINTY,Reasoning,Has uncertainty quantification,1,P10611,has certification,states that an item has a certain certification,http://wikiba.se/ontology#WikibaseItem,0.517,low,Has uncertainty quantification,local_catalog_similarity,pending_review
I4_HAS_UNCERTAINTY,Reasoning,Has uncertainty quantification,2,P12443,has cabinet,value is the advisory committee to the item's head of state,http://wikiba.se/ontology#WikibaseItem,0.477,low,i4 has uncertainty,local_catalog_similarity,pending_review
I4_HAS_UNCERTAINTY,Reasoning,Has uncertainty quantification,3,P8866,has operation,mathematical operation associated with this algebraic structure,http://wikiba.se/ontology#WikibaseItem,0.462,low,i4 has uncertainty,local_catalog_similarity,pending_review
I7_HAS_OBJECT,Reasoning,Old belief being revised,1,P8706,ritual object,"ceremonial or ritual objects associated with, and used as part of, rites and rituals practiced in everyday life and in rarer cultic and communal rites",http://wikiba.se/ontology#WikibaseItem,0.509,low,i7 has object,local_catalog_similarity,pending_review
I7_HAS_OBJECT,Reasoning,Old belief being revised,2,P1542,has effect,effect of this item,http://wikiba.se/ontology#WikibaseItem,0.474,low,i7 has object,local_catalog_similarity,pending_review
I7_HAS_OBJECT,Reasoning,Old belief being revised,3,P1429,has pet,pet that a person owns,http://wikiba.se/ontology#WikibaseItem,0.465,low,i7 has object,local_catalog_similarity,pending_review
I8_HAS_RESULT,Reasoning,New/revised belief,1,P1429,has pet,pet that a person owns,http://wikiba.se/ontology#WikibaseItem,0.465,low,i8 has result,local_catalog_similarity,pending_review
I8_HAS_RESULT,Reasoning,New/revised belief,2,P8701,has census,general population census of the country or region,http://wikiba.se/ontology#WikibaseItem,0.464,low,i8 has result,local_catalog_similarity,pending_review
I8_HAS_RESULT,Reasoning,New/revised belief,3,P1424,topic has template,the main template relating to a topic,http://wikiba.se/ontology#WikibaseItem,0.447,low,i8 has result,local_catalog_similarity,pending_review
ALLY_OF,Relations,Was ally of,1,P5872,smells of,what an item is said to smell like,http://wikiba.se/ontology#WikibaseItem,0.487,low,ally of,local_catalog_similarity,pending_review
ALLY_OF,Relations,Was ally of,2,P4600,polymer of,monomer of which this polymer compose,http://wikiba.se/ontology#WikibaseItem,0.480,low,ally of,local_catalog_similarity,pending_review
ALLY_OF,Relations,Was ally of,3,P13593,cosplay of,characters that are cosplayed in this image or video,http://wikiba.se/ontology#WikibaseItem,0.461,low,ally of,local_catalog_similarity,pending_review
ALLY_OF_BY,Relations,Had ally,1,P542,officially opened by,person that officially opened the event or place,http://wikiba.se/ontology#WikibaseItem,0.458,low,ally of by,local_catalog_similarity,pending_review
ALLY_OF_BY,Relations,Had ally,2,P156,followed by,"immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]",http://wikiba.se/ontology#WikibaseItem,0.435,low,ally of by,local_catalog_similarity,pending_review
ALLY_OF_BY,Relations,Had ally,3,P2894,day of week,"day of the week on which this item occurs, applies to or is valid",http://wikiba.se/ontology#WikibaseItem,0.434,low,ally of by,local_catalog_similarity,pending_review
ENEMY_OF,Relations,Was enemy of,1,P7047,enemy,opponent character or group of this fictive character or group,http://wikiba.se/ontology#WikibaseItem,0.691,medium,enemy,local_catalog_similarity,pending_review
ENEMY_OF,Relations,Was enemy of,2,P6271,demonym of,item that this sense is a demonym of,http://wikiba.se/ontology#WikibaseItem,0.521,low,enemy of,local_catalog_similarity,pending_review
ENEMY_OF,Relations,Was enemy of,3,P12050,demo of,video game or software that this trial version is based on,http://wikiba.se/ontology#WikibaseItem,0.508,low,enemy of,local_catalog_similarity,pending_review
ENEMY_OF_BY,Relations,Had enemy,1,P7047,enemy,opponent character or group of this fictive character or group,http://wikiba.se/ontology#WikibaseItem,0.553,low,enemy of,local_catalog_similarity,pending_review
ENEMY_OF_BY,Relations,Had enemy,2,P1830,owner of,entities owned by the subject,http://wikiba.se/ontology#WikibaseItem,0.467,low,enemy of,local_catalog_similarity,pending_review
ENEMY_OF_BY,Relations,Had enemy,3,P6271,demonym of,item that this sense is a demonym of,http://wikiba.se/ontology#WikibaseItem,0.465,low,enemy of,local_catalog_similarity,pending_review
INFLUENCED,Relations,Influenced entity/person,1,P737,influenced by,"the subject (person, idea, etc.) was influenced or inspired by this object entity, e.g. ""Heidegger was influenced by Aristotle""",http://wikiba.se/ontology#WikibaseItem,0.653,low,influenced,local_catalog_similarity,pending_review
INFLUENCED,Relations,Influenced entity/person,2,P11615,InfluenceWatch ID,"article on influencewatch.org for person, organization or legislation",http://wikiba.se/ontology#ExternalId,0.431,low,Influenced entity/person,local_catalog_similarity,pending_review
INFLUENCED,Relations,Influenced entity/person,3,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.387,low,Influenced entity/person,local_catalog_similarity,pending_review
INFLUENCED_BY,Relations,Was influenced by,1,P737,influenced by,"the subject (person, idea, etc.) was influenced or inspired by this object entity, e.g. ""Heidegger was influenced by Aristotle""",http://wikiba.se/ontology#WikibaseItem,0.750,medium,influenced by,local_catalog_similarity,pending_review
INFLUENCED_BY,Relations,Was influenced by,2,P702,encoded by,the gene that encodes some gene product,http://wikiba.se/ontology#WikibaseItem,0.539,low,influenced by,local_catalog_similarity,pending_review
INFLUENCED_BY,Relations,Was influenced by,3,P157,killed by,person or organization who killed the subject,http://wikiba.se/ontology#WikibaseItem,0.501,low,influenced by,local_catalog_similarity,pending_review
RELATED_TO,Relations,Generic social/political relation,1,P2210,relative to,qualifier: what a statement value is relative to,http://wikiba.se/ontology#WikibaseItem,0.629,low,related to,local_catalog_similarity,pending_review
RELATED_TO,Relations,Generic social/political relation,2,P7084,related category,Wikimedia category is related to this item,http://wikiba.se/ontology#WikibaseItem,0.607,low,related to,local_catalog_similarity,pending_review
RELATED_TO,Relations,Generic social/political relation,3,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.543,low,related to,local_catalog_similarity,pending_review
DOMAIN_DEITY,Religious,Domain has this deity,1,P2925,domain of saint or deity,domain(s) which this saint or deity controls or protects,http://wikiba.se/ontology#WikibaseItem,0.564,low,domain deity,local_catalog_similarity,pending_review
DOMAIN_DEITY,Religious,Domain has this deity,2,P13337,domain name,registered internet domain name that identifies this entity,http://wikiba.se/ontology#ExternalId,0.504,low,domain deity,local_catalog_similarity,pending_review
DOMAIN_DEITY,Religious,Domain has this deity,3,P3893,public domain date,date the item enters into the public domain in a jurisdiction,http://wikiba.se/ontology#Time,0.420,low,domain deity,local_catalog_similarity,pending_review
GOD_OF,Religious,Deity is god of domain,1,P7075,mod of,video game this mod is based on,http://wikiba.se/ontology#WikibaseItem,0.641,low,god of,local_catalog_similarity,pending_review
GOD_OF,Religious,Deity is god of domain,2,P13504,kigo of,season which denotes the sense in haiku in Japanese,http://wikiba.se/ontology#WikibaseItem,0.579,low,god of,local_catalog_similarity,pending_review
GOD_OF,Religious,Deity is god of domain,3,P11851,record of,state or event an object is a physical representation of,http://wikiba.se/ontology#WikibaseItem,0.521,low,god of,local_catalog_similarity,pending_review
HAS_PATRON_DEITY,Religious,Group has patron/tutelary deity,1,P417,patron saint,patron saint adopted by the subject,http://wikiba.se/ontology#WikibaseItem,0.535,low,patron deity,local_catalog_similarity,pending_review
HAS_PATRON_DEITY,Religious,Group has patron/tutelary deity,2,P5422,has pattern,"pattern, design, or motif intrinsic to, incorporated into, or applied to the surface of the subject",http://wikiba.se/ontology#WikibaseItem,0.504,low,has patron deity,local_catalog_similarity,pending_review
HAS_PATRON_DEITY,Religious,Group has patron/tutelary deity,3,P8866,has operation,mathematical operation associated with this algebraic structure,http://wikiba.se/ontology#WikibaseItem,0.486,low,has patron deity,local_catalog_similarity,pending_review
PATRON_DEITY_OF,Religious,Deity is patron/tutelary god of group,1,P417,patron saint,patron saint adopted by the subject,http://wikiba.se/ontology#WikibaseItem,0.542,low,patron deity,local_catalog_similarity,pending_review
PATRON_DEITY_OF,Religious,Deity is patron/tutelary god of group,2,P3773,antagonist of,protein for which this chemical compound acts as an antagonist,http://wikiba.se/ontology#WikibaseItem,0.492,low,patron deity of,local_catalog_similarity,pending_review
PATRON_DEITY_OF,Religious,Deity is patron/tutelary god of group,3,P3772,agonist of,protein for which this chemical acts as an agonist,http://wikiba.se/ontology#WikibaseItem,0.492,low,patron deity of,local_catalog_similarity,pending_review
CLIENT_OF,Social,Client to patron,1,P3205,patient of,was treated or studied as a patient by this person,http://wikiba.se/ontology#WikibaseItem,0.546,low,client of,local_catalog_similarity,pending_review
CLIENT_OF,Social,Client to patron,2,P1269,facet of,topic of which this item is an aspect; item that offers a broader perspective on the same topic,http://wikiba.se/ontology#WikibaseItem,0.520,low,client of,local_catalog_similarity,pending_review
CLIENT_OF,Social,Client to patron,3,P1776,circle of,"for unknown artists who lived in the same time as the named author in a similar style, possibly a follower or someone who had contact with the named artist",http://wikiba.se/ontology#WikibaseItem,0.491,low,client of,local_catalog_similarity,pending_review
FREED_BY,Social,Manumission,1,P8004,ordered by,subject that ordered the act,http://wikiba.se/ontology#WikibaseItem,0.584,low,freed by,local_catalog_similarity,pending_review
FREED_BY,Social,Manumission,2,P2568,repealed by,document is repealed/inactived by specified other document,http://wikiba.se/ontology#WikibaseItem,0.554,low,freed by,local_catalog_similarity,pending_review
FREED_BY,Social,Manumission,3,P4032,reviewed by,"person who reviewed/refereed the work, e.g., scientific peer-reviewer",http://wikiba.se/ontology#WikibaseItem,0.544,low,freed by,local_catalog_similarity,pending_review
OWNED,Social,Ownership of slaves,1,P127,owned by,owner of the subject,http://wikiba.se/ontology#WikibaseItem,0.602,low,owned,local_catalog_similarity,pending_review
OWNED,Social,Ownership of slaves,2,P1830,owner of,entities owned by the subject,http://wikiba.se/ontology#WikibaseItem,0.495,low,owned,local_catalog_similarity,pending_review
OWNED,Social,Ownership of slaves,3,P12095,fonds,part of an archival collection which an item belongs to,http://wikiba.se/ontology#WikibaseItem,0.365,low,Ownership of slaves,local_catalog_similarity,pending_review
PATRON_OF,Social,Patron-client relationship,1,P3205,patient of,was treated or studied as a patient by this person,http://wikiba.se/ontology#WikibaseItem,0.546,low,patron of,local_catalog_similarity,pending_review
PATRON_OF,Social,Patron-client relationship,2,P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))",http://wikiba.se/ontology#WikibaseItem,0.545,low,patron of,local_catalog_similarity,pending_review
PATRON_OF,Social,Patron-client relationship,3,P417,patron saint,patron saint adopted by the subject,http://wikiba.se/ontology#WikibaseItem,0.531,low,patron of,local_catalog_similarity,pending_review
WEARS,Social,Person wears clothing or garment,1,P3828,wears,clothing or accessory worn on subject's body,http://wikiba.se/ontology#WikibaseItem,0.763,medium,wears,local_catalog_similarity,pending_review
WEARS,Social,Person wears clothing or garment,2,P5051,towards,"qualifier for ""adjacent station"" (P197) to indicate the terminal station(s) of a transportation line or service in that direction",http://wikiba.se/ontology#WikibaseItem,0.387,low,Person wears clothing or garment,local_catalog_similarity,pending_review
WEARS,Social,Person wears clothing or garment,3,P137,operator,"person, profession, organization or entity that operates the equipment, facility, or service",http://wikiba.se/ontology#WikibaseItem,0.342,low,Person wears clothing or garment,local_catalog_similarity,pending_review
WORN_BY,Social,Garment is worn by person,1,P7376,worn by,person who wears or wore a garment or object,http://wikiba.se/ontology#WikibaseItem,0.795,medium,worn by,local_catalog_similarity,pending_review
WORN_BY,Social,Garment is worn by person,2,P13633,worn on,part of the body where an item is worn,http://wikiba.se/ontology#WikibaseItem,0.559,low,worn,local_catalog_similarity,pending_review
WORN_BY,Social,Garment is worn by person,3,P127,owned by,owner of the subject,http://wikiba.se/ontology#WikibaseItem,0.527,low,worn by,local_catalog_similarity,pending_review
CONTAINS_EVENT,Temporal,Period contains event,1,P1383,contains settlement,settlement which an administrative division contains,http://wikiba.se/ontology#WikibaseItem,0.609,low,contains event,local_catalog_similarity,pending_review
CONTAINS_EVENT,Temporal,Period contains event,2,P4330,contains,"contents, item or substance located within this wrapping item, but not part of this receptacle or container; does not describe the ingredients or components of this container",http://wikiba.se/ontology#WikibaseItem,0.539,low,contains event,local_catalog_similarity,pending_review
CONTAINS_EVENT,Temporal,Period contains event,3,P9813,container,the type or representing item that is located outside of and is not part of the item and fully contains it,http://wikiba.se/ontology#WikibaseItem,0.521,low,contains event,local_catalog_similarity,pending_review
DURING,Temporal,Event occurred during period,1,P10408,created during,specific event or occurrence a work was created during,http://wikiba.se/ontology#WikibaseItem,0.489,low,during,local_catalog_similarity,pending_review
DURING,Temporal,Event occurred during period,2,P2047,duration,length of time of an event or process,http://wikiba.se/ontology#Quantity,0.369,low,Event occurred during period,local_catalog_similarity,pending_review
DURING,Temporal,Event occurred during period,3,P8258,field of training,"profession, position or activity someone learnt during a training, traineeship or apprenticeship",http://wikiba.se/ontology#WikibaseItem,0.357,low,during,local_catalog_similarity,pending_review
OVERLAPS_WITH,Temporal,Periods overlap temporally,1,P514,interleaves with,stratigraphic relation in which two units overlap each other marginally,http://wikiba.se/ontology#WikibaseItem,0.524,low,overlaps with,local_catalog_similarity,pending_review
OVERLAPS_WITH,Temporal,Periods overlap temporally,2,P2789,connects with,item with which the item is physically connected,http://wikiba.se/ontology#WikibaseItem,0.472,low,overlaps with,local_catalog_similarity,pending_review
OVERLAPS_WITH,Temporal,Periods overlap temporally,3,P5009,complies with,the product or work complies with a certain norm or passes a test,http://wikiba.se/ontology#WikibaseItem,0.467,low,overlaps with,local_catalog_similarity,pending_review
WITHIN_TIMESPAN,Temporal,Entity exists within timespan,1,P8276,region within image,qualifier to identify a polygon within an image that the main statement applies to,http://wikiba.se/ontology#String,0.405,low,within timespan,local_catalog_similarity,pending_review
WITHIN_TIMESPAN,Temporal,Entity exists within timespan,2,P501,enclave within,territory is entirely surrounded (enclaved) by the other territory,http://wikiba.se/ontology#WikibaseItem,0.362,low,Entity exists within timespan,local_catalog_similarity,pending_review
WITHIN_TIMESPAN,Temporal,Entity exists within timespan,3,P1387,political alignment,political position within the left–right political spectrum,http://wikiba.se/ontology#WikibaseItem,0.354,low,within timespan,local_catalog_similarity,pending_review
EXPORTED_TO,Trade,Exported goods to,1,P10645,reports to,the subject position reports to this position,http://wikiba.se/ontology#WikibaseItem,0.593,low,exported to,local_catalog_similarity,pending_review
EXPORTED_TO,Trade,Exported goods to,2,P7781,exonerated of,crime of which the subject was found not to be guilty after having previously been found guilty by a court for that crime,http://wikiba.se/ontology#WikibaseItem,0.553,low,exported to,local_catalog_similarity,pending_review
EXPORTED_TO,Trade,Exported goods to,3,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.479,low,exported to,local_catalog_similarity,pending_review
IMPORTED_FROM,Trade,Imported goods from,1,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.560,low,imported from,local_catalog_similarity,pending_review
IMPORTED_FROM,Trade,Imported goods from,2,P10754,distributed from,place or location where a good or service is distributed from,http://wikiba.se/ontology#WikibaseItem,0.529,low,imported from,local_catalog_similarity,pending_review
IMPORTED_FROM,Trade,Imported goods from,3,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.515,low,imported from,local_catalog_similarity,pending_review
MAJOR_TRADING_PARTNER,Trade,Country/region with significant bilateral trade,1,P451,unmarried partner,"someone with whom the person is in a relationship without being married. Use ""spouse"" (P26) for married couples",http://wikiba.se/ontology#WikibaseItem,0.511,low,major trading partner,local_catalog_similarity,pending_review
MAJOR_TRADING_PARTNER,Trade,Country/region with significant bilateral trade,2,P6427,trading name,alternative name under which an entity legally trades,http://wikiba.se/ontology#Monolingualtext,0.412,low,major trading partner,local_catalog_similarity,pending_review
MAJOR_TRADING_PARTNER,Trade,Country/region with significant bilateral trade,3,P2375,has superpartner,"partner particle, in supersymmetry; inverse of ""superpartner of""",http://wikiba.se/ontology#WikibaseItem,0.386,low,major trading partner,local_catalog_similarity,pending_review
ALTERNATIVE_TO,Typological,Alternative/equivalent to another type,1,P8530,alternative form,link to spelling variant between two or more forms,http://wikiba.se/ontology#WikibaseForm,0.621,low,alternative to,local_catalog_similarity,pending_review
ALTERNATIVE_TO,Typological,Alternative/equivalent to another type,2,P2210,relative to,qualifier: what a statement value is relative to,http://wikiba.se/ontology#WikibaseItem,0.553,low,alternative to,local_catalog_similarity,pending_review
ALTERNATIVE_TO,Typological,Alternative/equivalent to another type,3,P4970,alternative name,"qualifier for alternative name(s), given for a subject in a database entry, or preserved in references (even these are no longer the preferred name)",http://wikiba.se/ontology#String,0.539,low,alternative,local_catalog_similarity,pending_review
HAS_VARIANT,Typological,Has variant or subtype,1,P12443,has cabinet,value is the advisory committee to the item's head of state,http://wikiba.se/ontology#WikibaseItem,0.546,low,has variant,local_catalog_similarity,pending_review
