token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
Asia,Q177837,Japanese Wikipedia,Japanese-language edition of Wikipedia,ASIA;Asia;Asia/Yangon,Q177837;Q25053390;Q25796166;Q3625042;Q37020313;Q48;Q540597;Q54974383;Q6923;Q726891,Asia;Asia Carrera;HMS Sir Francis Drake;Japanese Wikipedia;UTC+06:30,"1797 fifth-rate frigate;American pornographic actress;American pornographic actress (born 1986);British rock band;Identifier for a time offset from UTC of +6:30;Japanese-language edition of Wikipedia;biggest continent in the world;family name;female given name;village in Yahukimo Regency, Highland Papua, Indonesia",0.95,"{'type': 'alias', 'language': 'en', 'text': 'ASIA'}",Q10876391,Wikipedia language edition,,,,
Asia Minor,Q51614,Anatolia,peninsula in Western Asia,Asia Minor;Asia Minor Campaign,Q106465882;Q12824780;Q130583349;Q16834545;Q20530121;Q2866606;Q4034457;Q4806393;Q51614;Q87138,Anatolia;Asia Minor;Asia minor;Greco-Turkish War,1956 musical album by Machito;1961 instrumental recording by Jimmy Wisner;1962 Dizzy Reece album;Asian part of Turkey;Turkish-French progressive rockband;Vanity Fair caricature of Lt-Gen Sir Arnold Burrowes Kemball KSCI CB by Ape;musical group;painting by Miner Kilbourne Kellogg;peninsula in Western Asia;war lasting from 1919 to 1922 during the Turkish War of Independence,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Asia Minor'}",Q34763,peninsula,,,,
Asia. Africa. Europe,,,,,,,,0.0,,,,,,,
Asia. Africa. Greece-Macedon. Rome,,,,,,,,0.0,,,,,,,
Asia. Africa. Greece. Rome,,,,,,,,0.0,,,,,,,
Asia. Africa. Roman Empire,,,,,,,,0.0,,,,,,,
Assyria,Q40169,Assyria,Roman province (116–118 AD),Assyria,Q126871115;Q29440;Q311819;Q34213066;Q34213216;Q377085;Q40169;Q41137;Q4810454;Q852236,Assyria;Assyria 1 (Pauly-Wissowa);Assyria 2 (Pauly-Wissowa);Assyrian Empire;Assyrian Neo-Aramaic;Assyrian genocide;Assyrian homeland;Assyrian people;Upper Mesopotamia,"Ethnic group indigenous to Mesopotamia;Neo-Aramaic dialect;Roman province (116–118 AD);encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE);genocide of Assyrians in the Ottoman Empire;geographic and cultural region in Northern Mesopotamia, traditionally inhabited by the Assyrian people;later Roman woman married to Roman general Barbatio;major Mesopotamian East Semitic kingdom;northern portion of region between Tigris and Euphrates rivers, now part of Iraq, Syria and Turkey",1.0,"{'type': 'label', 'language': 'en', 'text': 'Assyria'}",Q182547,Roman province,,,,
Asturias,Q315719,Asturias,municipality of the Philippines in the province of Cebu,Asturias,Q111678391;Q125494134;Q1430901;Q2365208;Q24004403;Q2429454;Q315719;Q36940532;Q3934;Q4811764,Asturias;Asturias Airport;Principality of Asturias;Province of Asturias,"2019 edition of written work by Javier Reverte;Japanese progressive rock band;airport serving Asturias;autonomous community of Spain, situated in the northwest part of the country;electoral district of the Spanish Congress;family name;municipality of the Philippines in the province of Cebu;musical work written by the Spanish composer Isaac Albéniz;province of Spain;since 1388 to 1835, jurisdictional territory of the Prince of Asturias in the Crown of Castile",1.0,"{'type': 'label', 'language': 'en', 'text': 'Asturias'}",Q24764,municipality of the Philippines,,,,
Athens,Q203263,Athens,"consolidated city-county and county seat of Clarke County, Georgia, United States",Athens;Athens 2004;Athens University;Athens of the North,Q1524;Q203263;Q23436;Q25412596;Q547867;Q570807;Q755420;Q79439;Q844930;Q8558,2004 Summer Olympics;Athens;Classical Athens;Edinburgh;National and Kapodistrian University of Athens,"Games of the XXVIII Olympiad, in Athens, Greece;capital and largest city of Greece;capital city of Scotland, UK;city in Athens County, Ohio, United States;city-state in ancient Greece;consolidated city-county and county seat of Clarke County, Georgia, United States;county seat of Limestone County, Alabama, United States;family name;township municipality in Ontario, Canada;university in Athens, Greece",1.0,"{'type': 'label', 'language': 'en', 'text': 'Athens'}","Q1093829,Q1549591,Q3301053,Q62049,Q76514543","big city,city in the United States,consolidated city-county,county seat,municipality of Georgia",,,,
Attique (Grèce,,,,,,,,0.0,,,,,,,
Australia,Q408,Australia,country in Oceania,,Q104269190;Q15716632;Q15761696;Q167402;Q2784883;Q3960;Q408;Q50776;Q781365;Q781542,Australia;Australian Archaeology;Australian Broadcasting Corporation;Australian Faunal Directory;Australian Historical Studies;Australian Journal of Chemistry;Australian Plant Name Index;Australian continent;Australian rules football,Australian faunal database of taxon names and bibliographic data;academic journal;contact sport invented in Melbourne;continent in the Earth's Southern Hemisphere;country in Oceania;database of Australian plant names;journal;state-funded independent national public broadcaster of Australia;unisex given name,1.0,"{'type': 'label', 'language': 'en', 'text': 'Australia'}","Q3624078,Q43702,Q6256","country,federation,sovereign state",,,"Q107323313,Q45256,Q7785,Q865479","Australasia,Australia and New Zealand,Commonwealth of Nations,MIKTA"
Austria,Q40,Austria,country in Central Europe,Austria Vienna;Austrian Biographical Encylopedia;Austrian Lands;Austrian National Gallery;Austrian Styria,Q131209;Q131964;Q163534;Q25114801;Q25666;Q28513;Q303139;Q40;Q41358;Q533534,Austria;Austria men's national football team;Austrian Empire;Austria–Hungary;Belvedere;Cisleithania;FK Austria Wien;Styria;Österreichisches Biographisches Lexikon 1815–1950,"1867–1918 empire in Central Europe;Austrian biographical dictionary;Central European multinational Empire from 1804 to 1867;association football club in Austria;country in Central Europe;family name;federal state in the south of Austria;men's national association football team representing Austria;museum housed in the Belvedere palace, Vienna, Austria;northern and western part of Austro-Hungary with Dalmatia and Istria (1867–1918)",1.0,"{'type': 'label', 'language': 'en', 'text': 'Austria'}","Q123480,Q127693126,Q3624078,Q4209223,Q6256,Q7270","Rechtsstaat,country,landlocked country,republic,sovereign state,successor state",,,"Q27509,Q458,Q8932","Central Europe,European Economic Area,European Union"
Austrian Empire,Q131964,Austrian Empire,Central European multinational Empire from 1804 to 1867,,Q1176229;Q131964,Austrian Empire;Austrian empire,Central European multinational Empire from 1804 to 1867;Wikimedia disambiguation page,1.0,"{'type': 'label', 'language': 'en', 'text': 'Austrian Empire'}",Q3024240,historical country,,,,
Austro-Hungarian Empire,Q28513,Austria–Hungary,1867–1918 empire in Central Europe,Austro-Hungarian Empire,Q28513,Austria–Hungary,1867–1918 empire in Central Europe,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Austro-Hungarian Empire'}",Q3024240,historical country,,,Q152283,Central Powers
Autariatae,Q784432,Autariatae,ancient Illyrian people,,Q784432,Autariatae,ancient Illyrian people,1.0,"{'type': 'label', 'language': 'en', 'text': 'Autariatae'}","Q133311,Q3117863","isolated human group,tribe",Q146715,Illyrians,,
Avignon,Q6397,Avignon,"commune in Vaucluse, France",Avignon,Q1069612;Q1200500;Q252901;Q28537380;Q28540104;Q53865993;Q6397;Q671046;Q690326;Q790977,9385 Avignon;Avignon;Avignon Cathedral;Avignon-lès-Saint-Claude;Avignonet;Avignonet-Lauragais,"asteroid;cathedral in France;commune in Haute-Garonne, France;commune in Isère, France;commune in Jura, France;commune in Vaucluse, France;family name;painting by Eve Kirk;painting by Oliver Hall;regional county municipality in Quebec, Canada",1.0,"{'type': 'label', 'language': 'en', 'text': 'Avignon'}","Q484170,Q515","city,commune of France",,,,
Avon and western Oxfordshire,,,,,,,,0.0,,,,,,,
Azerbaijan,Q227,Azerbaijan,country in the Caucasus in Eastern Europe and Western Asia,Azerbaijan,Q131337;Q180800;Q206411;Q227;Q274536;Q2984556;Q58251;Q620059;Q724216;Q9292,Apostolic Prefecture of Azerbaijan;Azerbaijan;Azerbaijan Democratic Republic;Azerbaijan Soviet Socialist Republic;Azerbaijan men's national football team;Azerbaijani;Azerbaijani Armed Forces;Azerbaijani Land Force;Azerbaijani Wikipedia,Azerbaijani-language edition of Wikipedia;Ground warfare branch of the Azerbaijani Armed Forces;Oghuz Turkic language;Prefecture Apostolic;combined military forces of Azerbaijan;constituent republic of the Soviet Union between 1922 and 1991;country in the Caucasus in Eastern Europe and Western Asia;first Azerbaijani republic;national association football team representing Azerbaijan;region in northwestern Iran,1.0,"{'type': 'label', 'language': 'en', 'text': 'Azerbaijan'}","Q3624078,Q6256","country,sovereign state",,,"Q18869,Q27293,Q302045","Caucasus,Post-Soviet states,West Asia"
Babylonia,Q3632470,Babylonia,genus of molluscs,,Q1039987;Q109876391;Q113629286;Q13023430;Q15754169;Q2878102;Q3632469;Q3632470;Q47690;Q6642288,Babylonia;Babylonia areolata;Babylonia japonica;Babylonia spirata,;2019 video game;extrasolar planet;genus of molluscs;historical country;journal;play written by Dimitrios K. Vyzantios;species of mollusc,1.0,"{'type': 'label', 'language': 'en', 'text': 'Babylonia'}",Q16521,taxon,,,,
Babylonian empire,Q47690,Babylonia,historical country,Babylonian Empire,Q47690,Babylonia,historical country,0.95,"{'type': 'alias', 'language': 'th', 'text': 'Babylonian Empire'}","Q28171280,Q3024240","ancient civilization,historical country","Q11042,Q1292119","culture,style",,
Bacău County,Q179779,Bacău County,county in Romania,Bacău County COVID-19 pandemic,Q104720255;Q179779;Q1881119;Q20432040;Q81181640;Q89484738;Q89588514,Bacau County Branch of National Archives;Bacău County;Bacău County Council;Bacău County Prefecture;Bacău County councillor;COVID-19 pandemic in Bacău County,";Belle Époque administrative building in Bacău, Romania;archival institution in Romania;county in Romania;county of Romania, 1864-1950;elected assembly of Bacău County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Bacău County'}",Q1776764,county of Romania,,,,
Baden Culture,Q687230,Baden culture,archaeological culture,,Q687230,Baden culture,archaeological culture,1.0,"{'type': 'label', 'language': 'en', 'text': 'Baden culture'}",Q465299,archaeological culture,,,Q130253,Chalcolithic
Bahamas,Q778,The Bahamas,island sovereign state in the West Indies,Bahamas;Bahamas flag,Q103447;Q110473280;Q244590;Q435057;Q4842324;Q5363289;Q6459112;Q778;Q77884625;Q800198,Bahamas;Bahamas at the Olympics;Bahamas men's national football team;LMS Jubilee Class 5596 “Bahamas”;Lucayan Archipelago;The Bahamas;flag of The Bahamas,1999 studio album by Ritmo Tribale;Canadian singer-songwriter;German political magazine;Participation of athletes from the Bahamas in the Olympic Games;archipelago in the Northwestern West Indies;island sovereign state in the West Indies;men's national association football team representing the Bahamas;national flag of the Commonwealth of The Bahamas;painting by Ed Paschke;preserved British 4-6-0 locomotive,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Bahamas'}","Q11815167,Q202686,Q3624078,Q56061,Q6256","Commonwealth realm,administrative territorial entity,archipelagic state,country,sovereign state",,,"Q66458647,Q664609","Caribbean,European Union tax haven blacklist"
Bahia (Brazil,Q74870938,Bahia (Brazil : State). Secretaria da Cultura,state secretariat responsible for the Culture area in the state of Bahia,,Q126709701;Q74870938,Bahia (Brazil : State). Conselho Estadual de Cultura;Bahia (Brazil : State). Secretaria da Cultura,;state secretariat responsible for the Culture area in the state of Bahia,0.8,"{'type': 'label', 'language': 'en', 'text': 'Bahia (Brazil : State). Secretaria da Cultura'}",Q10369268,State Secretariat of Brazil,,,Q27219578,Category:Government secretariat of the state of Bahia
Bahrain,Q398,Bahrain,country in the Persian Gulf,Bahrain,Q115821;Q19457020;Q210460;Q26721058;Q2740693;Q3249151;Q398;Q4165357;Q4842752;Q54165951,Bahrain;Bahrain Island;Bahrain News Agency;Bahrain Victorious;Bahrain Victorious Development Team;Bahrain men's national football team;Bahraini Premier League;Eastern Arabia,"Italian cycling team;country in the Persian Gulf;cycling team (2017-);football league;historical region encompassing the entire coastal strip of Eastern Arabian Peninsula;largest island within the archipelago of Bahrain;national association football team;the state news agency of Bahrain;town in Khyber Pakhtunkhwa, Pakistan;union council in Khyber Pakhtunkhwa, Pakistan",1.0,"{'type': 'label', 'language': 'en', 'text': 'Bahrain'}","Q112099,Q33837,Q3624078,Q6256","archipelago,country,island country,sovereign state",,,"Q109647832,Q27293,Q66458647,Q7204","European Union tax haven blacklist,Gulf States,Middle East,West Asia"
Balkan Peninsula,Q23522,Balkans,geopolitical and cultural region of Southeast Europe,Balkan peninsula,Q130751485;Q23522,Balkan Peninsula epos;Balkans,;geopolitical and cultural region of Southeast Europe,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Balkan peninsula'}","Q1620908,Q34763,Q3502482,Q82794","cultural region,historical region,peninsula,region",,,Q263686,Southeast Europe
Balkans,Q23522,Balkans,geopolitical and cultural region of Southeast Europe,Balkans campaign (World War II);Balkans history;Balkans studies;Balkanska vila,Q123762797;Q1266338;Q162362;Q233932;Q23522;Q464974;Q4851104;Q789406;Q805073;Q94098756,Balkan studies;Balkans;Balkans Cup;Balkans Theater;Balkanska;Balkanski;Emina Jahoviç;World War II in the Balkans;history of the Balkans,"1914 campaign of World War I;1940–45 conflict of World War II;Band;Serbian-Turkish singer-songwriter (born 1982);academic field;aspect of history;family name;football tournament;geopolitical and cultural region of Southeast Europe;street in Novi Sad, Serbia",1.0,"{'type': 'label', 'language': 'en', 'text': 'Balkans'}","Q1620908,Q34763,Q3502482,Q82794","cultural region,historical region,peninsula,region",,,Q263686,Southeast Europe
Baltic States,Q39731,Baltic states,"three countries east of the Baltic Sea: Estonia, Latvia, Lithuania",Baltic States residents,Q10865658;Q131581600;Q16352542;Q16822311;Q17514737;Q21830383;Q39731;Q61386732;Q66300101;Q99529390,Baltic States Precedent Files (NAID 1184690);Baltic States Swimming Championships;Baltic states;Baltic states collaboration from 1921 to 1940;Baltic states housing bubble;Baltic states military history task force;Baltic states slap sanctions on Georgian officials. Will the EU follow suit?;Baltic states synchronization with CESA;Baltic states under Soviet rule;Balts,";December 2024 news article about sanctions on Georgian officials;annual swimming competition;economic bubble involving major cities of Baltic states in 2000s;historical event;international electricity transmission infrastructure project to synchronize Baltic states with the Continental Europe Synchronous Area;residents of Estonia, Latvia, and Lithuania collectively;series in the National Archives and Records Administration's holdings;sub-project of WikiProject Military history;three countries east of the Baltic Sea: Estonia, Latvia, Lithuania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Baltic states'}","Q29430681,Q82794","region,triad",,,"Q12373118,Q1998497,Q46,Q579938","Baltic region,Europe,Northeastern Europe,Põhjala"
